127.0.0.1 - - [27/Oct/2021:15:57:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/image/pizza.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/image/chicken.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 200 59517
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 200 162734
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:16 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 200 41332
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:21 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:21 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:21 +0900] "GET /Quiz_WebProject/image/chicken.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:57:21 +0900] "GET /Quiz_WebProject/image/pizza.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/image/chicken.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/image/pizza.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:38 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/chicken.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/pizza.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/chicken.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/image/pizza.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:39 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:40 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:15:59:40 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 304 -
